EGTM,FlightCycle,WashingData
92.269485,1,0
92.787422,2,0
93.131676,3,0
93.257202,4,0
93.342384,5,0
93.409546,6,0
93.389458,7,0
93.27272,8,0
93.075943,9,0
92.816093,10,0
92.487297,11,0
92.14093,12,0
91.808197,13,0
91.510376,14,0
91.256447,15,0
91.023514,16,0
90.828156,17,0
90.646576,18,0
90.456032,19,0
90.246597,20,0
90.007202,21,0
89.741722,22,0
89.463005,23,0
89.189919,24,0
88.923943,25,0
88.683693,26,0
88.446976,27,0
88.178932,28,0
87.873093,29,0
87.525986,30,0
87.106888,31,0
86.631546,32,0
86.143494,33,0
85.677071,34,0
85.284874,35,0
85.001472,36,0
84.847305,37,0
84.833908,38,0
84.931564,39,0
85.088158,40,0
85.300293,41,0
85.518593,42,0
85.725296,43,0
85.859177,44,0
85.900368,45,0
85.806007,46,0
85.571228,47,0
85.202019,48,0
84.71167,49,0
84.148605,50,0
83.56073,51,0
82.962692,52,0
82.406097,53,0
81.901154,54,0
81.468971,55,0
81.131683,56,0
80.887482,57,0
80.713058,58,0
80.605476,59,0
80.508835,60,0
80.396545,61,0
80.228577,62,0
80.018494,63,0
79.743736,64,0
79.4272,65,0
79.089561,66,0
78.756828,67,0
78.428719,68,0
78.13179,69,0
77.859413,70,0
77.61911,71,0
77.407928,72,0
77.196381,73,0
76.98069,74,0
76.762505,75,0
76.533417,76,0
76.292,77,0
76.009277,78,0
75.662704,79,0
75.276192,80,0
74.897995,81,0
74.549515,82,0
74.2472,83,0
73.997826,84,0
73.798454,85,0
73.621918,86,0
73.479897,87,0
73.400482,88,0
73.403542,89,0
73.476608,90,0
73.586571,91,0
73.712265,92,0
73.850372,93,0
73.963768,94,0
74.07943,95,0
74.18161,96,0
74.257065,97,0
74.290314,98,0
74.299263,99,0
74.274651,100,0
74.195045,101,0
74.062363,102,0
73.898216,103,0
73.749496,104,0
73.635368,105,0
73.570763,106,0
73.583107,107,0
73.654045,108,0
73.790039,109,0
73.991028,110,0
74.249504,111,0
74.552658,112,0
74.882957,113,0
75.239632,114,0
75.549393,115,0
75.81897,116,0
76.021759,117,0
76.156471,118,0
76.217216,119,0
76.177383,120,0
76.017769,121,0
75.762947,122,0
75.383263,123,0
74.958412,124,0
74.520195,125,0
74.115623,126,0
73.791901,127,0
73.56604,128,0
73.394913,129,0
73.288467,130,0
73.233879,131,0
73.218483,132,0
73.208626,133,0
73.19812,134,0
73.178146,135,0
73.124153,136,0
